Fx Fz M_max M_min
-0.5 -6 0.327098 -0.294826
-0.4 -6 0.323871 -0.298054
-0.3 -6 0.320644 -0.301281
-0.2 -6 0.317417 -0.304508
-0.1 -6 0.31419 -0.307735
1.52933e-14 -6 0.310962 -0.310962
0.1 -6 0.307735 -0.31419
0.2 -6 0.304508 -0.317417
0.3 -6 0.301281 -0.320644
0.4 -6 0.298054 -0.323871
0.5 -6 0.294826 -0.327098
0.6 -6 0.291599 -0.330326
0.7 -6 0.288372 -0.333553
0.8 -6 0.285145 -0.33678
0.9 -6 0.281918 -0.340007
1 -6 0.278691 -0.343234
1.1 -6 0.275463 -0.346461
1.2 -6 0.272236 -0.349689
1.3 -6 0.269009 -0.352916
1.4 -6 0.265782 -0.356143
1.5 -6 0.262555 -0.35937
1.6 -6 0.259327 -0.362597
1.7 -6 0.2561 -0.365825
1.8 -6 0.252873 -0.369052
1.9 -6 0.249646 -0.372279
2 -6 0.246419 -0.375506
2.1 -6 0.243191 -0.378733
2.2 -6 0.239964 -0.381961
2.3 -6 0.236737 -0.385188
2.4 -6 0.23351 -0.388415
2.5 -6 0.230283 -0.391642
2.6 -6 0.227055 -0.394869
2.7 -6 0.223828 -0.398097
2.8 -6 0.220249 -0.401324
2.9 -6 0.215861 -0.404551
3 -6 0.211473 -0.407778
3.1 -6 0.207086 -0.411005
3.2 -6 0.202698 -0.414232
3.3 -6 0.19831 -0.41746
3.4 -6 0.193922 -0.420687
3.5 -6 0.189534 -0.423914
3.6 -6 0.185146 -0.427141
3.7 -6 0.180758 -0.430368
3.8 -6 0.176371 -0.433596
3.9 -6 0.171983 -0.436823
4 -6 0.167595 -0.44005
4.1 -6 0.163207 -0.443277
4.2 -6 0.158819 -0.446504
4.3 -6 0.154431 -0.449732
4.4 -6 0.150043 -0.452959
4.5 -6 0.145656 -0.456186
4.6 -6 0.141268 -0.459413
4.7 -6 0.13688 -0.46264
4.8 -6 0.132492 -0.465868
4.9 -6 0.128104 -0.469095
5 -6 0.123716 -0.472322
5.1 -6 0.119328 -0.475549
5.2 -6 0.114941 -0.478776
5.3 -6 0.110553 -0.482003
5.4 -6 0.106165 -0.485231
5.5 -6 0.101777 -0.488458
5.6 -6 0.0973891 -0.491685
5.7 -6 0.0930013 -0.494912
5.8 -6 0.0886134 -0.498139
5.9 -6 0.0842256 -0.501367
6 -6 0.0798377 -0.504594
6.1 -6 0.0754499 -0.507821
6.2 -6 0.071062 -0.511048
6.3 -6 0.0666742 -0.514275
6.4 -6 0.0622863 -0.517503
6.5 -6 0.0578984 -0.52073
6.6 -6 0.0535106 -0.523957
6.7 -6 0.0491227 -0.527184
6.8 -6 0.0447349 -0.530411
6.9 -6 0.040347 -0.533638
7 -6 0.0359592 -0.536866
7.1 -6 0.0315713 -0.540093
7.2 -6 0.0271835 -0.54332
7.3 -6 0.0227956 -0.546547
7.4 -6 0.0184078 -0.549774
7.5 -6 0.0140199 -0.553002
7.6 -6 0.00963204 -0.556229
7.7 -6 0.00524419 -0.559456
7.8 -6 0.000856331 -0.562683
7.9 -6 -0.00353152 -0.56591
8 -6 -0.00791938 -0.569138
8.1 -6 -0.0123072 -0.572365
8.2 -6 -0.0166951 -0.575592
8.3 -6 -0.0210829 -0.578819
8.4 -6 -0.0254708 -0.582046
8.5 -6 -0.0298587 -0.585274
8.6 -6 -0.0342465 -0.588501
8.7 -6 -0.0386344 -0.591728
8.8 -6 -0.0430222 -0.594955
8.9 -6 -0.0474101 -0.598182
9 -6 -0.0517979 -0.601409
9.1 -6 -0.0561858 -0.604637
9.2 -6 -0.0605736 -0.607864
9.3 -6 -0.0649615 -0.611091
9.4 -6 -0.0693494 -0.614318
9.5 -6 -0.0737372 -0.617545
9.6 -6 -0.0781251 -0.620773
9.7 -6 -0.0825129 -0.624
9.8 -6 -0.0869008 -0.627227
9.9 -6 -0.0912886 -0.630454
10 -6 -0.0956765 -0.633681
10.1 -6 -0.100064 -0.636909
10.2 -6 -0.104452 -0.640136
10.3 -6 -0.10884 -0.643363
10.4 -6 -0.113228 -0.64659
10.5 -6 -0.117616 -0.649817
10.6 -6 -0.122004 -0.653045
10.7 -6 -0.126391 -0.656272
