Fx1 Fz1 M_max M_min
8.1 -6 0.289462 -0.266844
8.2 -6 0.288986 -0.266406
8.3 -6 0.288511 -0.265968
8.4 -6 0.288035 -0.265529
8.5 -6 0.28756 -0.265091
8.6 -6 0.287084 -0.264652
8.7 -6 0.286609 -0.264214
8.8 -6 0.286133 -0.263776
8.9 -6 0.285658 -0.263337
9 -6 0.285182 -0.262899
9.1 -6 0.284706 -0.26246
9.2 -6 0.284231 -0.262022
9.3 -6 0.283755 -0.261584
9.4 -6 0.28328 -0.261145
9.5 -6 0.282804 -0.260707
9.6 -6 0.282329 -0.260268
9.7 -6 0.281853 -0.25983
9.8 -6 0.281377 -0.259392
9.9 -6 0.280902 -0.258953
10 -6 0.280426 -0.258515
10.1 -6 0.279951 -0.258076
10.2 -6 0.279475 -0.257638
10.3 -6 0.279 -0.2572
10.4 -6 0.278524 -0.256761
10.5 -6 0.278049 -0.256323
10.6 -6 0.277573 -0.255884
10.7 -6 0.277097 -0.255446
10.8 -6 0.276622 -0.255008
10.9 -6 0.276146 -0.254569
11 -6 0.275671 -0.254131
11.1 -6 0.275195 -0.253692
11.2 -6 0.27472 -0.253254
11.3 -6 0.274244 -0.252816
11.4 -6 0.273769 -0.252377
11.5 -6 0.273293 -0.251939
11.6 -6 0.272817 -0.2515
11.7 -6 0.272342 -0.251062
11.8 -6 0.271866 -0.250623
11.9 -6 0.271391 -0.250185
12 -6 0.270915 -0.249747
12.1 -6 0.27044 -0.249308
12.2 -6 0.269964 -0.24887
12.3 -6 0.269488 -0.248431
12.4 -6 0.269013 -0.247993
12.5 -6 0.268537 -0.247555
12.6 -6 0.268062 -0.247116
12.7 -6 0.267586 -0.246678
12.8 -6 0.267111 -0.246239
12.9 -6 0.266635 -0.245801
13 -6 0.26616 -0.245363
13.1 -6 0.265684 -0.244924
13.2 -6 0.265208 -0.244486
13.3 -6 0.264733 -0.244047
13.4 -6 0.264257 -0.243609
13.5 -6 0.263782 -0.243171
13.6 -6 0.263306 -0.242732
13.7 -6 0.262831 -0.242294
13.8 -6 0.262355 -0.241855
13.9 -6 0.261879 -0.241417
14 -6 0.261404 -0.240979
14.1 -6 0.260928 -0.24054
14.2 -6 0.260453 -0.240102
14.3 -6 0.259977 -0.239663
14.4 -6 0.259502 -0.239225
14.5 -6 0.259026 -0.238787
14.6 -6 0.258551 -0.238348
14.7 -6 0.258075 -0.23791
14.8 -6 0.257599 -0.237471
14.9 -6 0.257124 -0.237033
15 -6 0.256648 -0.236595
15.1 -6 0.256173 -0.236156
15.2 -6 0.255697 -0.235718
15.3 -6 0.255222 -0.235279
15.4 -6 0.254746 -0.234841
15.5 -6 0.254271 -0.234403
